"time","hp1.Pelec","hp2.Pelec","hP_with_boiler.Pelec"
1.63395e-312,1.63395e-312,24.4064,24.3373
nan,nan,24.4064,24.3373
nan,nan,24.4064,24.3373
nan,nan,23.5303,24.2656
nan,nan,22.6733,24.1915
nan,nan,22.6733,24.1915
nan,nan,22.6733,24.1915
nan,nan,22.6408,24.5479
nan,nan,22.6408,24.9236
nan,nan,22.6408,24.9236
nan,nan,22.6408,24.9236
1.08224e-312,1.08224e-312,23.1178,24.9371
nan,nan,23.6209,24.9371
nan,nan,23.6209,24.9371
nan,nan,23.6209,24.9371
nan,nan,23.5019,25.0831
nan,nan,23.3578,25.2352
nan,nan,23.3578,25.2352
